

Aaron亚伦	Aaron	ron亚伦
Jane简(John的女性名词)	Jane简(John	John的女性名词)
Janice珍尼絲希伯來，法國少女；上帝是仁慈的。	Janice	帝是仁慈的。
Jasmine贾斯敏	Jasmine	mine贾斯敏
Jason詹森	Jason	son詹森
Jay杰伊	Jay	y杰伊
Jean琴法國上帝是慈悲的。	Jean	慈悲的。
Jean姬恩(Jane的苏格兰形式)	Jean姬恩(Jan	ane的苏格兰形式)
Jeffery杰弗瑞	Jeffery	fery杰弗瑞
Jenna珍娜	Jenna	nna珍娜
Jennifer珍尼佛英國白色的波；施魔法，妖艷，迷人的女人。	Jennifer	艷，迷人的女人。
Jennifer詹妮弗	Jennifer	nifer詹妮弗
Jenny珍妮希伯來，法國少女。	Jenny	法國少女。
Jenny詹妮(同Jennie;Jane,Jennifer的昵称)	Jenny詹妮(同Jennie;Jane,Jennif	妮(同Jennie;Jane,Jennifer的昵称)
Jerome杰罗姆	Jerome	ome杰罗姆
Jerry杰瑞(Gerald,Jeremiah,Jerome的昵称)	Jerry杰瑞(Gerald,Jeremiah,Jerom	杰瑞(Gerald,Jeremiah,Jerome的昵称)
Jesse杰西	Jesse	sse杰西
Jessica傑西嘉希伯來上帝的恩寵；財富。	Jessica	的恩寵；財富。
Jessica杰西卡(Jessee的女子形式)	Jessica杰西卡(Jess	西卡(Jessee的女子形式)
Jessie婕西希伯來上帝的恩寵；財富。	Jessie	恩寵；財富。
Jessie杰西(Jasmine,Jessica的昵称;Janet的苏格兰形式)	Jessie杰西(Jasmine,Jessica的昵称;J	smine,Jessica的昵称;Janet的苏格兰形式)
Jill姬兒神話少女；戀人。	Jill	；戀人。
Jill姬尔(Gillian的昵称)	Jill姬尔(Gillia	尔(Gillian的昵称)
Jimmy吉米(James的昵称)	Jimmy吉米(Jame	吉米(James的昵称)
Jim吉姆(James的昵称)	Jim吉姆(Jame	(James的昵称)
Jo喬蘇格蘭戀人。	Jo	人。
Joa瓊法國，神話上帝仁慈的贈禮。	Joa	贈禮。
Joanna喬安娜希伯來上帝仁慈的贈禮。	Joanna	仁慈的贈禮。
Joanna乔安娜	Joanna	nna乔安娜
Joanne希伯來希伯來上帝仁慈的贈禮。	Joanne	仁慈的贈禮。
Joan琼(同Jane;John的女性形式)	Joan琼(同Jane;Joh	Jane;John的女性形式)
Jocelyn賈思琳拉丁愉快的；快樂的	Jocelyn	愉快的；快樂的
Jocelyn乔斯林	Jocelyn	elyn乔斯林
Jodie喬蒂希伯來非常文靜；讚美。	Jodie	靜；讚美。
Joe乔(Joseph的昵称)	Joe乔(Joseph	(Joseph的昵称)
Johnny约翰尼(亦译为:乔尼)	Johnny约翰尼	尼(亦译为:乔尼)
John约翰	John	hn约翰
Joliet乔莉埃特	Joliet	et乔莉埃特
Jonathan乔纳森	Jonathan	athan乔纳森
Jordan乔丹	Jordan	rdan乔丹
Jose/Joseph约瑟夫	Jose/Joseph	e/Joseph约瑟夫
Josephine約瑟芬希伯來增強；多產的女子。	Josephine	增強；多產的女子。
Josephine约瑟芬	Josephine	ephine约瑟芬
Joshua约书亚	Joshua	hua约书亚
Josie乔茜(同Josephine)	Josie乔茜(同Josephi	ie乔茜(同Josephine)
Joy喬伊拉丁欣喜；快樂	Joy	；快樂
Joyce喬伊絲拉丁快樂的；歡樂的。	Joyce	；歡樂的。
Joyce乔伊斯(Josephine的昵称)	Joyce乔伊斯(Josephi	伊斯(Josephine的昵称)
Joy乔伊	Joy	y乔伊
Judith朱蒂斯希伯來讚美；文靜之女	Judith	美；文靜之女
Judith朱迪丝	Judith	ith朱迪丝
Judy朱蒂希伯來讚美。	Judy	來讚美。
Judy朱蒂(Judith的昵称)	Judy朱蒂(Judit	蒂(Judith的昵称)
Julia朱麗亞拉丁頭髮柔軟的；年輕。	Julia	的；年輕。
Juliana朱莉安娜	Juliana	ana朱莉安娜
Julia朱莉娅	Julia	ia朱莉娅
Julie朱莉希臘有張柔和平靜臉龐的。	Julie	靜臉龐的。
Juliet朱麗葉拉丁頭髮柔軟的；年輕的。	Juliet	的；年輕的。
Julie朱莉	Julie	lie朱莉
June朱恩拉丁六月。	June	丁六月。
June朱恩	June	ne朱恩
Justin贾斯汀	Justin	tin贾斯汀
Kama卡瑪印度愛之神。	Kama	愛之神。
Karen凱倫希臘純潔。	Karen	希臘純潔。
Karen凯琳(Katherine的丹麦形式)	Karen凯琳(Katherin	(Katherine的丹麦形式)
Karida卡瑞达	Karida	ida卡瑞达
Kate凯特(Katherine的昵称)	Kate凯特(Katherin	特(Katherine的昵称)
Katherine凱瑟琳希臘純潔的。	Katherine	凱瑟琳希臘純潔的。
Katherine凯瑟琳(同Catherine)	Katherine凯瑟琳(同Cather	erine凯瑟琳(同Catherine)
Kathy凯西(Katherine,Katherleen的昵称;同Cathy,Kathie)	Kathy凯西(Katherine,Katherleen的昵称;同Cathy,K	西(Katherine,Katherleen的昵称;同Cathy,Kathie)
Katie/Kate/Katy卡蒂	Katie/Kate/Katy	tie/Kate/Katy卡蒂
Katrina卡特里娜	Katrina	ina卡特里娜
Kay凱伊英國欣喜的；亞瑟王之兄弟。	Kay	兄弟。
Kayla凯拉	Kayla	yla凯拉
Kay凯(Katherine的昵称;同Kaye)	Kay凯(Katherine的昵称;同	Katherine的昵称;同Kaye)
Keith凯斯	Keith	ith凯斯
Kelly凱莉蓋爾女戰士。	Kelly	爾女戰士。
Kelly凯莉	Kelly	lly凯莉
Kelsey凯尔西	Kelsey	sey凯尔西
Kennedy肯尼迪	Kennedy	nedy肯尼迪
Kenneth肯尼斯	Kenneth	neth肯尼斯
Kenny肯尼(Kenneth的昵称)	Kenny肯尼(Kennet	肯尼(Kenneth的昵称)
Ken肯(Ken结尾名字的昵称)	Ken肯(Ken	结尾名字的昵称)
Kevin凯文	Kevin	vin凯文
Kimberley金百莉英國出生皇家草地上的人。	Kimberley	生皇家草地上的人。
Kimberly特里娜	Kimberly	berly特里娜
Kitty吉蒂希臘純潔的。	Kitty	臘純潔的。
Kitty基蒂(Catherine的昵称)	Kitty基蒂(Catherin	基蒂(Catherine的昵称)
Kristin克莉絲汀希臘基督的追隨者、門徒。	Kristin	追隨者、門徒。
Kyle凯尔	Kyle	le凯尔
Lance兰斯	Lance	nce兰斯
Lareina莱瑞拉	Lareina	eina莱瑞拉
Larry拉里(Lawrence的昵称)	Larry拉里(Lawrenc	拉里(Lawrence的昵称)
Lassie蕾西	Lassie	ssie蕾西
Laura羅拉拉丁月桂樹；勝利。	Laura	樹；勝利。
Laura劳拉(Lawrence的女性形式)	Laura劳拉(Lawrenc	(Lawrence的女性形式)
Laurel羅瑞爾拉丁月桂樹；勝利。	Laurel	桂樹；勝利。
Lauren羅倫拉丁月桂樹。	Lauren	拉丁月桂樹。
Laurent劳伦特	Laurent	rent劳伦特
Lauren罗兰/劳伦	Lauren罗	en罗兰/劳伦
Lawrence劳伦斯	Lawrence	rence劳伦斯
Leander利安德尔	Leander	der利安德尔
Lee李英國草地的居民；庇護所。	Lee	護所。
Lee李	Lee	ee李
Leila莉拉阿拉伯黑髮的美女子；夜晚出生的。	Leila	晚出生的。
Lena莉娜拉丁寄宿；寓所。	Lena	；寓所。
Lena莉娜(Helena的昵称)	Lena莉娜(Helen	娜(Helena的昵称)
Leona李奧娜拉丁獅。	Leona	娜拉丁獅。
Leonard雷纳德	Leonard	nard雷纳德
Leopold利奥波特	Leopold	old利奥波特
Leo雷欧(Leander,Leonard,Leopold的昵称)	Leo雷欧(Leander,Leonard,Leopol	(Leander,Leonard,Leopold的昵称)
Lesley雷思麗蓋爾來自老的保壘；冬青園。	Lesley	壘；冬青園。
Leslie莱斯利	Leslie	lie莱斯利
Letitia列蒂西雅拉丁，西班牙快樂的；欣喜的。	Letitia	樂的；欣喜的。
Lilith李莉斯希伯來屬於晚上的。	Lilith	屬於晚上的。
Lillian麗蓮希臘一朵百合花，代表純潔；上帝的誓約。	Lillian	；上帝的誓約。
Lillian莉莲(亦作lilian)	Lillian莉莲(亦作lil	ian莉莲(亦作lilian)
Lily莉莉	Lily	ly莉莉
Linda琳達西班牙美麗的人。	Linda	美麗的人。
Linda琳达	Linda	nda琳达
Lindsay琳賽條頓來自海邊的菩提樹。	Lindsay	海邊的菩提樹。
lindsay琳赛	lindsay	ndsay琳赛
Lisa麗莎希伯來對神奉獻。	Lisa	神奉獻。
Lisa丽莎(Elizabeth的别名)	Lisa丽莎(Elizabet	莎(Elizabeth的别名)
Liz莉斯希伯來上帝就是誓約。	Liz	誓約。
Liz莉兹(Elizabeth的昵称)	Liz莉兹(Elizabet	(Elizabeth的昵称)
Lora/Laura洛拉	Lora/Laura	ra/Laura洛拉
Loren劳伦(同Lauren)	Loren劳伦(同Laur	en劳伦(同Lauren)
Lorin劳瑞恩	Lorin	in劳瑞恩
Lori劳瑞(同Lorry)	Lori劳瑞(同Lor	i劳瑞(同Lorry)
Lorraine洛倫法國來自法國洛林小鎮的人。	Lorraine	國洛林小鎮的人。
Lorraine罗琳	Lorraine	rraine罗琳
Louisa路易莎	Louisa	isa路易莎
Louise璐易絲條頓闻名的戰士	Louise	頓闻名的戰士
Louise路易丝	Louise	ise路易丝
Louis路易斯	Louis	is路易斯
Lucia露西娅	Lucia	ia露西娅
Lucine露西妮	Lucine	ine露西妮
Lucy露西拉丁帶來光明和聪明的人。	Lucy	明的人。
Lucy露茜	Lucy	cy露茜
Luke卢克/路加	Luke卢	卢克/路加
Lulu露露(Louise,Louisa的昵称)	Lulu露露(Louise,Louis	露(Louise,Louisa的昵称)
Lydia莉蒂亞英國來自里底亞的人，財富。	Lydia	人，財富。
Lydia莉迪娅	Lydia	ia莉迪娅
Lydia莉迪娅/莉蒂亚	Lydia莉	迪娅/莉蒂亚
Lynn琳英國傍湖而居的人	Lynn	而居的人
Lynn林恩	Lynn	nn林恩
Mabel梅布尔/玛佩尔	Mabel梅	布尔/玛佩尔
Madeline马德琳	Madeline	eline马德琳
Maggie玛姬(Margaret的昵称)	Maggie玛姬(Margare	e玛姬(Margaret的昵称)
Mamie玛米(Margaret,Mary的昵称)	Mamie玛米(Margaret,Mar	玛米(Margaret,Mary的昵称)
Manda曼达	Manda	nda曼达
Mandy曼迪(Amanda,Manda,Melinda的昵称)	Mandy曼迪(Amanda,Manda,Melind	曼迪(Amanda,Manda,Melinda的昵称)
Marcus马库斯	Marcus	cus马库斯
Marcy马西	Marcy	rcy马西
Margaret玛格丽特	Margaret	aret玛格丽特
Mariah玛丽亚(同Mary)	Mariah玛丽亚(同M	ah玛丽亚(同Mary)
Marilyn玛里琳/玛丽莲/玛丽琳	Marilyn玛里	琳/玛丽莲/玛丽琳
Marks马科斯	Marks	ks马科斯
Mark马克	Mark	rk马克
Marshal马歇尔	Marshal	shal马歇尔
Mars马尔斯	Mars	s马尔斯
Martha玛莎	Martha	rtha玛莎
Martin马丁	Martin	rtin马丁
Marvin马文	Marvin	rvin马文
Mary玛丽	Mary	ry玛丽
Mason梅森	Mason	son梅森
Matilda玛蒂尔达	Matilda	lda玛蒂尔达
Matthew马修	Matthew	tthew马修
Maureen莫琳	Maureen	ureen莫琳
Mavis梅维丝	Mavis	is梅维丝
Maxine玛克辛	Maxine	ine玛克辛
Max马克斯	Max	马克斯
Mayme梅米	Mayme	yme梅米
May梅	May	ay梅
Megan梅甘	Megan	gan梅甘
Melinda梅琳达	Melinda	inda梅琳达
Melissa梅利莎	Melissa	issa梅利莎
Melody美洛蒂	Melody	ody美洛蒂
Mercedes默西迪丝	Mercedes	edes默西迪丝
Meredith梅瑞狄斯	Meredith	dith梅瑞狄斯
Mia米娅	Mia	a米娅
Michael迈克尔	Michael	hael迈克尔
Michelle米歇尔(Michael的女性形式)	Michelle米歇尔(Micha	米歇尔(Michael的女性形式)
Mickey米奇	Mickey	ckey米奇
Mike麦克	Mike	ke麦克
Milly米莉(Camille,Emily,Melissa的简称)	Milly米莉(Camille,Emily,Meliss	米莉(Camille,Emily,Melissa的简称)
Miranda米兰达	Miranda	anda米兰达
Miriam米里亚姆	Miriam	am米里亚姆
Miya米娅	Miya	ya米娅
Molly茉莉	Molly	lly茉莉
Monica莫尼卡	Monica	ica莫尼卡
Morgan摩尔根/摩根	Morgan摩	n摩尔根/摩根
Nancy南茜(Nan的别名)	Nancy南茜(Na	南茜(Nan的别名)
Natalie娜塔莉	Natalie	alie娜塔莉
Natasha娜塔莎(亦作natascha))	Natasha娜塔莎(亦作natas	ha娜塔莎(亦作natascha))
Nathaniel	Nathaniel	Nathaniel
Nathan纳撒尼尔	Nathan	an纳撒尼尔
Neil尼尔	Neil	il尼尔
Nelson尼尔森	Nelson	son尼尔森
Nicholas尼古拉斯	Nicholas	olas尼古拉斯
Nick尼克	Nick	ck尼克
Nicole妮可	Nicole	cole妮可
Nikita尼基塔	Nikita	ita尼基塔
Nina尼娜(Anna的昵称)	Nina尼娜(Ann	娜(Anna的昵称)
Noah诺亚	Noah	ah诺亚
Nora娜拉/诺拉	Nora娜	娜拉/诺拉
Norman诺曼	Norman	rman诺曼
Norma诺玛	Norma	rma诺玛
Nydia尼迪亚	Nydia	ia尼迪亚
Octavia奥克塔维亚	Octavia	ia奥克塔维亚
Olina奥琳娜	Olina	na奥琳娜
Oliver奥利弗	Oliver	ver奥利弗
Olivia奥利维亚	Olivia	ia奥利维亚
Ophelia奥菲莉娅	Ophelia	lia奥菲莉娅
Oprah奥帕(同Opera,Opie)	Oprah奥帕(同Opera,Op	ah奥帕(同Opera,Opie)
Oscar奥斯卡	Oscar	ar奥斯卡
Owen欧文	Owen	en欧文
Pamela帕梅拉	Pamela	ela帕梅拉
Patricia帕特丽夏	Patricia	icia帕特丽夏
Patrick帕特里克/派翠克	Patrick帕	帕特里克/派翠克
Patty芭迪(Mathilda,Matilda,Martha的昵称)	Patty芭迪(Mathilda,Matilda,Marth	芭迪(Mathilda,Matilda,Martha的昵称)
Paula保拉	Paula	ula保拉
Pauline波琳(同Paula)	Pauline波琳(同Pau	line波琳(同Paula)
Paul保罗	Paul	ul保罗
Pearl珀尔	Pearl	arl珀尔
Peggy帕姬(Margaret的昵称)	Peggy帕姬(Margare	帕姬(Margaret的昵称)
Peter彼得	Peter	ter彼得
Philip菲利普	Philip	lip菲利普
Philomena菲洛米娜	Philomena	omena菲洛米娜
Phoebe菲比	Phoebe	oebe菲比
Phyllis菲丽丝	Phyllis	llis菲丽丝
Polly波莉	Polly	lly波莉
Priscilla普里西拉	Priscilla	cilla普里西拉
Quentina昆蒂娜(Quentin的女性形式)	Quentina昆蒂娜(Quent	昆蒂娜(Quentin的女性形式)
Quentin昆廷	Quentin	entin昆廷
Rachel雷切尔	Rachel	hel雷切尔
Randall兰德尔(同Randal)	Randall兰德尔(同Ran	all兰德尔(同Randal)
Randolph伦道夫	Randolph	dolph伦道夫
Randy兰迪(Randall,Randolph的昵称)	Randy兰迪(Randall,Randolp	兰迪(Randall,Randolph的昵称)
Raymond	Raymond	Raymond
Ray雷	Ray	ay雷
Rebecca丽贝卡	Rebecca	ecca丽贝卡
Reed列得	Reed	ed列得
Regina瑞加娜	Regina	ina瑞加娜
Rex雷克斯	Rex	雷克斯
Richard理查德	Richard	hard理查德
Richie里奇(同Rick,Ricky,Ritchie.)	Richie里奇(同Rick,Ricky,Ritchi	hie里奇(同Rick,Ricky,Ritchie.)
Riley赖利/瑞利	Riley赖	y赖利/瑞利
Rita丽塔(Margaret的昵称)	Rita丽塔(Margare	塔(Margaret的昵称)
Robert罗伯特	Robert	ert罗伯特
Robinson罗宾逊/鲁宾逊	Robinson罗	on罗宾逊/鲁宾逊
Robin罗宾(Robert,Robinson的昵称)	Robin罗宾(Robert,Robinso	罗宾(Robert,Robinson的昵称)
Rock洛克	Rock	ck洛克
Roger罗杰	Roger	ger罗杰
Ronald罗纳	Ronald	nald罗纳
Ronald罗纳德	Ronald	ald罗纳德
Rose罗丝	Rose	se罗丝
Rowan罗文	Rowan	wan罗文
Roxanne洛克萨妮	Roxanne	nne洛克萨妮
Roy罗伊	Roy	y罗伊
Ruth露丝	Ruth	th露丝
Ryan赖安	Ryan	an赖安
Sabrina萨布丽娜	Sabrina	ina萨布丽娜
Sally萨莉	Sally	lly萨莉
Samantha萨曼莎	Samantha	antha萨曼莎
Sami萨米	Sami	mi萨米
Sammy萨米(Samson,Samuel的昵称)	Sammy萨米(Samson,Samue	萨米(Samson,Samuel的昵称)
Samuel塞缪尔	Samuel	uel塞缪尔
Sam萨姆/山姆(Samson,Samuel的昵称)	Sam萨姆/山姆(Samson,Sam	姆(Samson,Samuel的昵称)
Sandra桑德拉	Sandra	dra桑德拉
Sandra桑德拉(Alexandra的昵称)	Sandra桑德拉(Alexand	桑德拉(Alexandra的昵称)
Sandy桑迪(Andra的昵称)	Sandy桑迪(Andr	桑迪(Andra的昵称)
Sarah/Sara莎拉	Sarah/Sara	rah/Sara莎拉
Savannah萨瓦纳/萨瓦娜	Savannah萨	ah萨瓦纳/萨瓦娜
Scarlett斯佳丽/斯嘉丽	Scarlett斯	tt斯佳丽/斯嘉丽
Scott斯考特	Scott	tt斯考特
Sean肖恩(John的爱尔兰形式)	Sean肖恩(Joh	ohn的爱尔兰形式)
Selina塞琳娜	Selina	ina塞琳娜
Selma塞尔玛	Selma	ma塞尔玛
Serena塞丽娜	Serena	ena塞丽娜
Sharon莎伦(同Sarah)	Sharon莎伦(同Sar	ron莎伦(同Sarah)
Shawn肖恩(同Sean)	Shawn肖恩(同Se	wn肖恩(同Sean)
Sheila希拉	Sheila	eila希拉
Shelley/Shelly雪莉(同Sheila,Shelby,Shirley)	Shelley/Shelly雪莉(同Sheila,Shelby,Shirl	lley/Shelly雪莉(同Sheila,Shelby,Shirley)
Sherry雪丽(同Charlotte,Cher,Sarah,Shirley)	Sherry雪丽(同Charlotte,Cher,Sarah,Shirl	rry雪丽(同Charlotte,Cher,Sarah,Shirley)
Shirley雪莉	Shirley	irley雪莉
Sidney西德尼	Sidney	ney西德尼
Sierra斯莱瑞	Sierra	rra斯莱瑞
Silvia西尔维亚	Silvia	ia西尔维亚
Simon西蒙	Simon	mon西蒙
Solomon所罗门	Solomon	omon所罗门
Sonia索尼亚	Sonia	ia索尼亚
Sophia索菲娅	Sophia	hia索菲娅
Spark斯帕克	Spark	rk斯帕克
Spencer斯宾塞	Spencer	ncer斯宾塞
Spike斯派克	Spike	ke斯派克
Stacy丝塔茜(Anastasia的昵称)	Stacy丝塔茜(Anastas	塔茜(Anastasia的昵称)
Stanley斯坦利	Stanley	nley斯坦利
Stella丝特拉(Estelle的昵称)	Stella丝特拉(Estel	丝特拉(Estelle的昵称)
Stephanie斯蒂芬妮	Stephanie	hanie斯蒂芬妮
Steven史蒂文(同Stephen)	Steven史蒂文(同Step	en史蒂文(同Stephen)
Steve史蒂夫	Steve	ve史蒂夫
Stewart斯图尔特	Stewart	art斯图尔特
Stuart斯图亚特	Stuart	rt斯图亚特
Sue苏(Susan的昵称)	Sue苏(Susan	(Susan的昵称)
Sunny萨妮(Sonia的昵称)	Sunny萨妮(Soni	萨妮(Sonia的昵称)
Susan苏珊	Susan	san苏珊
Tamara塔玛拉	Tamara	ara塔玛拉
Tammy苔米(Tamara的昵称)	Tammy苔米(Tamar	苔米(Tamara的昵称)
Tanya/谭雅坦尼娅(Tatiana的昵称)	Tanya/谭雅坦尼娅(Tat	坦尼娅(Tatiana的昵称)
Tasha塔莎	Tasha	sha塔莎
Ted泰德	Ted	d泰德
Terence特伦斯	Terence	ence特伦斯
Teresa特莉萨	Teresa	esa特莉萨
Terry特里(Terence的昵称)	Terry特里(Terenc	特里(Terence的昵称)
Tess苔丝(Tessa,Teresa的昵称)	Tess苔丝(Tessa,Teres	丝(Tessa,Teresa的昵称)
Thomas托马斯	Thomas	mas托马斯
Tiffany蒂凡妮	Tiffany	fany蒂凡妮
Timothy蒂莫西	Timothy	othy蒂莫西
Tim提姆	Tim	m提姆
Tina蒂娜	Tina	na蒂娜
Todd托德	Todd	dd托德
Tommy汤米(Thomas的昵称)	Tommy汤米(Thoma	汤米(Thomas的昵称)
Tom汤姆(Thomas的昵称)	Tom汤姆(Thoma	(Thomas的昵称)
Tonya棠雅/东妮亚	Tonya棠	棠雅/东妮亚
Tony托尼(Anthony的昵称)	Tony托尼(Anthon	尼(Anthony的昵称)
Tracy特蕾西	Tracy	cy特蕾西
Tyler泰勒	Tyler	ler泰勒
Ultraman奥特曼	Ultraman	raman奥特曼
Ulysses尤利塞斯	Ulysses	ses尤利塞斯
Ursula厄休拉	Ursula	ula厄休拉
Vanessa温妮莎	Vanessa	essa温妮莎
Van范	Van	an范
Venus维纳斯	Venus	us维纳斯
Vera维拉	Vera	ra维拉
Vernon弗农	Vernon	rnon弗农
Vern弗恩(Vernon的昵称)	Vern弗恩(Verno	恩(Vernon的昵称)
Vicky维姬(Victoria的昵称)	Vicky维姬(Victori	维姬(Victoria的昵称)
Victoria维多利亚	Victoria	oria维多利亚
Victor维克多	Victor	tor维克多
Vincent文森特	Vincent	cent文森特
Violet维尔莉特	Violet	et维尔莉特
Virginia维吉妮亚	Virginia	inia维吉妮亚
Vita维达	Vita	ta维达
Vivian薇薇安	Vivian	ian薇薇安
Wanda旺达	Wanda	nda旺达
Warner华纳	Warner	rner华纳
Warren沃伦	Warren	rren沃伦
Wayne韦恩	Wayne	yne韦恩
Wendy温蒂(Gwendolyn,Wanda的昵称)	Wendy温蒂(Gwendolyn,Wand	温蒂(Gwendolyn,Wanda的昵称)
Wesley卫斯理	Wesley	ley卫斯理
Whitney惠特尼	Whitney	tney惠特尼
William威廉	William	lliam威廉
Willy威利/维利	Willy威	y威利/维利
Winnie温妮	Winnie	nnie温妮
Wynne韦恩	Wynne	nne韦恩
Yolanda尤兰达	Yolanda	anda尤兰达
Yvette伊薇特(同Yvonne)	Yvette伊薇特(同Yvo	te伊薇特(同Yvonne)
Yvonne伊温妮	Yvonne	nne伊温妮
Zachary圣扎迦利	Zachary	ary圣扎迦利
Zack扎克	Zack	ck扎克
Zara莎拉	Zara	ra莎拉
Zelda塞尔达	Zelda	da塞尔达
Zoey/Zoe佐伊	Zoey/Zoe	ey/Zoe佐伊
Zora卓拉	Zora	ra卓拉
